Pid,Shoe name,isNew,Gender,category,isBestSeller,isMemberExclusive,isSustainable,inStock,numColors,Color 1,Color 2,Color 3,Color 4,Price,Expensive
1012432926,LeBron NXXT Gen,True,Basketball Shoes,Basketball Shoes,False,True,False,True,4,Track Red,Teal Nebula,Emerald Rise,Black,160,True
1005725016,LeBron NXXT Gen,False,Basketball Shoes,Basketball Shoes,True,False,False,True,4,Wolf Grey,Hyper Royal,Blue Lightning,Pink Spell,160,True
1009796052,LeBron NXXT Gen,False,Basketball Shoes,Basketball Shoes,True,False,False,True,3,White,Black,Metallic Silver,NaN,160,True
1009792510,LeBron NXXT Gen,False,Basketball Shoes,Basketball Shoes,True,False,False,True,4,Light Orewood Brown,Sesame,Sail,Coral Chalk,160,True
1012328827,Air Force 1 '07 LV8,True,Men,Shoes,False,True,False,True,4,Light Silver,Light Silver,White,Black,130,True
1012328648,Air Force 1 '07 LV8,True,Men,Shoes,False,True,False,True,4,White,Deep Royal Blue,Baltic Blue,Light Photo Blue,130,True
1012328856,Air Force 1 Mid '07 LV8,True,Men,Shoes,False,True,False,True,4,Summit White,Stadium Green,Coconut Milk,Black,140,True
1012329004,Air Force 1 Mid '07 LV8,True,Men,Shoes,False,True,False,True,4,Black,Light Silver,University Red,Coconut Milk,140,True
1011992008,G.T. Jump 2,True,Men,Basketball Shoes,False,True,False,True,4,Mica Green,Jade Ice,Industrial Blue,Bright Crimson,180,True
1011981902,G.T. Jump 2,True,Men,Basketball Shoes,False,True,False,True,4,Black,White,Blue Tint,Black,180,True
1012274883,G.T. Cut 2,False,Men,Basketball Shoes,False,False,False,True,4,Black,Anthracite,Football Grey,White,170,True
1010080240,G.T. Cut 2,False,Men,Basketball Shoes,False,False,False,True,2,Mica Green,Medium Olive,NaN,NaN,170,True
1012314589,G.T. Cut 2,False,Men,Basketball Shoes,False,False,False,False,4,Industrial Blue,Jade Ice,Bright Crimson,Black,170,True
14235650,G.T. Cut 2,False,Men,Basketball Shoes,False,False,False,True,4,Black,Desert Berry,Valerian Blue,Metallic Summit White,170,True
1012317756,G.T. Cut 2,False,Men,Basketball Shoes,False,False,False,True,4,Track Red,Ember Glow,Sail,Football Grey,170,True
