Pid,Shoe name,isNew,Gender,category,isBestSeller,isMemberExclusive,isSustainable,inStock,numColors,Color 1,Color 2,Color 3,Color 4,Price,Expensive
14243913,Space Hippie 04,False,Women,Shoes,False,False,False,True,4,Sweet Beet,Team Red,Photon Dust,Black,135,True
11214171,Converse Chuck Taylor All Star High Top,False,Unisex Shoe,Unisex Shoe,False,False,False,True,1,White,NaN,NaN,NaN,65,False
11214176,Converse Chuck Taylor All Star High Top,False,Unisex Shoe,Unisex Shoe,False,False,False,True,1,Black,NaN,NaN,NaN,65,False
1012329057,Jumpman MVP,False,Women,Shoes,False,False,False,True,4,Team Gold,Brown Kelp,Sail,Shadow Brown,165,True
1012328638,Jumpman MVP,True,Women,Shoes,False,False,False,True,4,Black,Varsity Royal,Muslin,White,165,True
14231456,SB Pogo,False,Skate Shoes (Womens),Skate Shoes (Womens),False,False,False,True,4,White,White,Gum Light Brown,Black,90,False
14231457,SB Pogo,False,Skate Shoes (Womens),Skate Shoes (Womens),False,False,False,True,3,Cave Purple,Cave Purple,White,NaN,90,False
1011915364,SB Pogo,False,Skate Shoes (Womens),Skate Shoes (Womens),False,False,False,True,4,Black,Black,White,White,90,False
1011906467,SB Pogo,False,Skate Shoes (Womens),Skate Shoes (Womens),False,False,False,True,4,Summit White,Light Silver,Polar,Bright Mandarin,95,False
1003841428,SB Pogo,False,Skate Shoes (Womens),Skate Shoes (Womens),False,False,False,True,4,Black,Hyper Royal,Gum Light Brown,Black,95,False
1010054453,SB Pogo,False,Skate Shoes (Womens),Skate Shoes (Womens),False,False,False,True,4,Green Abyss,Desert Ochre,White,Green Abyss,95,False
1013844166,Pegasus Trail 4 By You,False,Custom Women,Custom  Trail Running Shoes,False,True,False,True,2,Multi-Color,Multi-Color,NaN,NaN,170,True
1012614926,Dunk Low Unlocked By You,True,Custom Shoes,Custom Shoes,False,True,False,True,3,Multi-Color,Multi-Color,Multi-Color,NaN,170,True
1012328795,Cortez TXT,False,Women,Shoes,False,False,False,False,2,Black,White,NaN,NaN,90,False
1012328574,Mercurial Superfly 9 Elite,False,Artificial-Grass Soccer Cleats,Artificial-Grass Soccer Cleats,False,False,False,True,3,Black,Hyper Royal,Chrome,NaN,275,True
1012328809,Cortez TXT,False,Women,Shoes,False,False,False,False,2,Midnight Navy,White,NaN,NaN,90,False
14231048,SB Bruin High,False,Skate Shoes (Womens),Skate Shoes (Womens),False,False,False,True,4,Black,Black,Gum Light Brown,White,90,False
14231049,SB Bruin High,False,Skate Shoes (Womens),Skate Shoes (Womens),False,False,False,True,4,Enamel Green,Enamel Green,Gum Light Brown,Summit White,90,False
14082575,SB Bruin High,False,Skate Shoes (Womens),Skate Shoes (Womens),False,False,False,True,4,Black,Black,Gum Light Brown,White,90,False
1003841738,SB Bruin High,False,Skate Shoes (Womens),Skate Shoes (Womens),False,False,False,True,4,Medium Soft Pink,Medium Soft Pink,Summit White,Black,90,False
1003841741,SB Bruin High,False,Skate Shoes (Womens),Skate Shoes (Womens),False,False,False,True,4,Noise Aqua,Noise Aqua,Summit White,Light Orewood Brown,90,False
1014403913,Phantom Luna FG By You,False,Custom Women,Custom  Firm-Ground Soccer Cleats,False,True,False,True,2,Multi-Color,Multi-Color,NaN,NaN,150,True
14079382,Tiempo Legend 9 Club IC,False,Indoor/Court Soccer Shoes,Indoor/Court Soccer Shoes,False,False,False,True,4,Black,Summit White,Light Photo Blue,Black,50,False
1012718588,Phantom Luna Elite,False,Firm-Ground Soccer Cleats,Firm-Ground Soccer Cleats,False,False,False,True,2,Guava Ice,Black,NaN,NaN,275,True
14228810,ZoomX Dragonfly,False,Track & Field Distance Spikes,Track & Field Distance Spikes,False,False,False,True,3,Hyper Pink,Laser Orange,Black,NaN,150,True
1011845419,Dunk Low,True,Women,Shoes,False,False,False,False,4,Sail,Tawny,Metallic Silver,Photon Dust,120,False
1009796331,Court Air Zoom GP Turbo Osaka Premium,False,Women,Hard Court Tennis Shoes,False,False,False,True,4,Black,Hot Punch,Pink Bloom,Barely Volt,160,True
13188067,Precision 5,False,Basketball Shoes,Basketball Shoes,False,False,False,True,3,Black,Anthracite,White,NaN,70,False
1000498969,Court Air Zoom Vapor Pro 2,False,Women,Clay Tennis Shoes,False,False,False,True,2,Black,White,NaN,NaN,120,False
13382809,Air Jordan 1 Low SE,False,Women,Shoes,False,False,False,True,4,Twine,Orange Quartz,Sail,Orange,110,False
13831068,Air Jordan 1 Low SE,False,Women,Shoe,False,False,False,True,4,Newsprint,Bright Crimson,White,Olive Grey,110,False
1009186258,Dunk High,False,Women,Shoes,False,False,False,True,4,Summit White,Team Red,Gym Red,Black,120,False
1013429071,Dunk Low,True,Shoes,Shoes,True,False,False,True,4,Sail,Light Iron Ore,Light Smoke Grey,University Blue,110,False
1012328823,Dunk Low Retro,True,Men,Shoes,True,False,False,True,3,White,White,Clear Jade,NaN,110,False
12016993,Air Max 270,False,Men,Shoes,True,False,False,True,3,White,White,Black,NaN,160,True
1012691465,Air Max 270,False,Men,Shoes,False,False,False,True,4,Night Maroon,White,Cedar,Black,160,True
1011876283,Air Max 270,False,Men,Shoes,False,False,False,True,4,White,Industrial Blue,Blue Lightning,Citron Pulse,160,True
12114664,Air Max 270,False,Men,Shoes,True,False,False,True,3,Black,Black,Black,NaN,160,True
12016989,Air Max 270,False,Men,Shoes,True,False,False,True,4,Black,White,Solar Red,Anthracite,160,True
1013440810,Pegasus 40,False,Men,Road Running Shoes,False,False,False,True,4,Black,Sail,Jade Ice,Citron Tint,130,True
1010090249,Pegasus 40,False,Men,Road Running Shoes,True,False,False,True,4,White,Coconut Milk,Volt,Multi-Color,130,True
1012286759,Pegasus 40,False,Men,Road Running Shoes,False,False,False,True,4,Racer Blue,Black,Sundial,White,130,True
1012578178,Pegasus 40,False,Men,Road Running Shoes,False,True,False,True,4,Light Iron Ore,Flat Pewter,Mica Green,Black,140,True
1010061570,Pegasus 40,False,Men,Road Running Shoes,False,False,False,True,4,Black,White,Bright Mandarin,Multi-Color,140,True
1010083870,Pegasus 40,False,Men,Road Running Shoes,False,False,False,True,3,Black,Iron Grey,White,NaN,130,True
1010101971,Pegasus 40,False,Men,Road Running Shoes,False,False,False,True,4,White,Football Grey,Bright Mandarin,Multi-Color,140,True
1010102260,Pegasus 40,False,Men,Road Running Shoes,True,False,False,True,3,Black,Anthracite,Black,NaN,130,True
1010088657,Pegasus 40,False,Men,Road Running Shoes,True,False,False,True,4,White,Black,Photon Dust,Wolf Grey,130,True
1010047876,Pegasus 40,False,Men,Road Running Shoes,False,False,False,True,4,Black,Green Abyss,Baltic Blue,Hyper Pink,130,True
1010108134,Pegasus 40,False,Men,Road Running Shoes,True,False,False,True,3,Black,Light Crimson,White,NaN,130,True
1010088032,Pegasus 40,False,Men,Road Running Shoes,True,False,False,True,4,White,Light Orewood Brown,Phantom,Obsidian,130,True
1012255943,Pegasus 40,False,Men,Road Running Shoes,False,False,False,True,4,White,Pale Ivory,Rush Fuchsia,Multi-Color,130,True
1010109533,Pegasus 40,False,Men,Road Running Shoes,True,False,False,True,4,Midnight Navy,Black,Racer Blue,Pure Platinum,130,True
1010092811,Pegasus 40,False,Men,Road Running Shoes,False,False,False,True,4,White,Light Orewood Brown,Phantom,Obsidian,130,True
1010102640,Pegasus 40,False,Men,Road Running Shoes,True,False,False,True,3,Black,Iron Grey,White,NaN,130,True
1012577864,Invincible 3,False,Men,Road Running Shoes,False,True,False,True,4,Cool Grey,Pewter,Iron Grey,Black,190,True
1011845642,Invincible 3,False,Men,Road Running Shoes,True,False,False,True,4,White,University Red,Photo Blue,Black,180,True
1012549802,Invincible 3,True,Men,Road Running Shoes,True,False,False,True,2,Black,White,NaN,NaN,180,True
1012594590,Invincible 3,False,Men,Road Running Shoes,False,False,False,True,4,White,Volt,Hyper Pink,Black,180,True
1003843043,Invincible 3,False,Men,Road Running Shoes,True,False,False,True,4,Black,Dark Grey,White,White,180,True
1003843023,Invincible 3,False,Men,Road Running Shoes,True,False,False,True,4,College Navy,Midnight Navy,Black,Metallic Silver,180,True
1012549822,Invincible 3,False,Men,Road Running Shoes,False,False,False,True,4,White,Lime Blast,Blue Lightning,Black,180,True
13071857,Air Force 1 '07,False,Men,Shoes,True,False,False,True,2,White,White,NaN,NaN,110,False
13019614,Air Force 1 '07,False,Men,Shoes,False,False,False,True,2,White,Black,NaN,NaN,110,False
13019619,Air Force 1 '07,False,Men,Shoes,False,False,False,True,2,Black,White,NaN,NaN,110,False
13071848,Air Force 1 '07,False,Men,Shoes,True,False,False,True,2,Black,Black,NaN,NaN,110,False
1010048744,Blazer Mid '77 Vintage,False,Men,Shoes,False,False,False,True,3,White,Pure Platinum,Game Royal,NaN,105,False
1010071964,Blazer Mid '77 Vintage,False,Men,Shoes,False,False,False,True,4,White,Wolf Grey,Black,Safety Orange,105,False
13019637,Blazer Mid '77 Vintage,False,Men,Shoes,False,False,False,True,3,Black,Sail,Sail,NaN,105,False
1003333562,Blazer Mid '77 Vintage,False,Men,Shoes,False,False,False,True,4,White,Coconut Milk,White,Picante Red,105,False
12544923,Blazer Mid '77 Vintage,False,Men,Shoes,True,False,False,True,2,White,Black,NaN,NaN,105,False
1010047154,Air VaporMax 2023 Flyknit,False,Men,Shoes,True,False,False,True,4,Black,White,Black,White,210,True
1012260137,Air VaporMax 2023 Flyknit,True,Men,Shoes,True,False,False,True,4,Black,Anthracite,Black,Black,210,True
1012265415,Air VaporMax 2023 Flyknit,True,Men,Shoes,True,False,False,True,4,Track Red,Track Red,Track Red,Mystic Red,210,True
1010047238,Air VaporMax 2023 Flyknit,False,Men,Shoes,True,False,False,True,4,Baltic Blue,Green Abyss,Hot Punch,Citron Tint,210,True
1010047150,Air VaporMax 2023 Flyknit,False,Men,Shoes,True,False,False,True,4,Pure Platinum,Pure Platinum,Pure Platinum,White,210,True
12114716,Air VaporMax Plus,False,Men,Shoes,False,False,False,True,3,Black,Black,Dark Grey,NaN,210,True
12114718,Air VaporMax Plus,False,Men,Shoes,False,False,False,True,3,White,Pure Platinum,White,NaN,210,True
12119412,Air VaporMax Plus,False,Men,Shoes,False,False,False,True,4,White,Aurora Green,Black,Fierce Purple,210,True
13140921,Air VaporMax Plus,False,Men,Shoes,False,False,False,True,4,Black,Game Royal,White,Metallic Silver,210,True
12238830,Air VaporMax Plus,False,Men,Shoes,False,False,False,True,4,Work Blue,Diffused Blue,White,Cool Grey,210,True
12114717,Air VaporMax Plus,False,Men,Shoes,False,False,False,True,4,Black,Total Orange,Total Crimson,Black,210,True
1012692046,Air VaporMax Plus,False,Men,Shoes,False,False,False,True,4,Night Maroon,Black,Cedar,White,210,True
1012595783,P-6000 Premium,False,Shoes,Shoes,False,False,False,True,4,Light Iron Ore,Photon Dust,Flat Pewter,Metallic Silver,120,False
1011815701,P-6000 Premium,False,Shoes,Shoes,False,False,False,True,4,Coconut Milk,Medium Blue,Photon Dust,Sail,120,False
12789254,P-6000 Premium,False,Shoes,Shoes,False,False,False,True,3,Pure Platinum,Black,White,NaN,110,False
1012264791,Air Huarache Runner,True,Men,Shoes,False,False,False,True,4,Light Smoke Grey,Light Silver,Violet Dust,Black,140,True
1012303139,Air Huarache Runner,True,Men,Shoes,False,False,False,True,4,Summit White,White,Pure Platinum,Metallic Silver,140,True
1013490308,Air Huarache Runner,False,Men,Shoes,False,False,False,True,4,Black,Medium Ash,Khaki,White,140,True
1012261853,Freak 5,True,Basketball Shoes,Basketball Shoes,False,False,False,True,4,Gym Red,Fir,Court Purple,Metallic Gold,140,True
1012260326,Freak 5,True,Basketball Shoes,Basketball Shoes,False,False,False,True,4,Black,Fuchsia Dream,Baltic Blue,Phantom,130,True
1011990023,KD16 NRG,True,Basketball Shoes,Basketball Shoes,False,False,False,False,4,Noble Red,Team Red,Siren Red,Metallic Gold,160,True
1012356746,Air Jordan 1 Low SE,True,Men,Shoes,False,False,False,True,4,Hemp,White,Black,Light British Tan,120,False
1012365371,Air Jordan 1 Mid SE,True,Men,Shoes,False,False,False,True,4,Light Orewood Brown,White,Light British Tan,Metallic Gold,135,True
1012333693,Air Max Pulse,False,Men,Shoes,False,False,False,True,3,White,Summit White,White,NaN,150,True
1012411249,Air Max Pulse,False,Men,Shoes,False,False,False,True,4,Cobblestone,Light Orewood Brown,Black,Reflect Silver,150,True
1012290599,Air Max Pulse,False,Men,Shoes,False,False,False,True,3,Black,Anthracite,Black,NaN,150,True
1012256021,Air Max Pulse,True,Men,Shoes,False,False,False,True,4,Summit White,Pure Platinum,Safety Orange,Black,150,True
1009423504,Air Max Pulse,False,Men,Shoes,False,False,False,True,4,Phantom,High Voltage,White,Reflective Silver,150,True
1012265303,Air Max Solo,False,Men,Shoes,False,False,False,True,4,Phantom,Football Grey,Volt,White,100,False
1012260151,Air Max Solo,False,Men,Shoes,False,False,False,True,3,White,Pure Platinum,Black,NaN,100,False
1012320008,Air Max Solo,False,Men,Shoes,False,False,False,True,4,Black,Clear Jade Ii,Vivid Sulfur,Metallic Dark Grey,100,False
1012284441,Metcon 9,True,Men,Workout Shoes,False,False,False,False,4,Monarch,Mica Green,Medium Ash,Amber Brown,150,True
1012265235,Metcon 9,True,Men,Workout Shoes,False,False,False,False,4,White,Racer Blue,Obsidian,Pure Platinum,150,True
1012258329,Metcon 9,True,Men,Workout Shoes,False,False,False,False,4,Light Smoke Grey,Photon Dust,White,White,150,True
1012313316,Metcon 9,True,Men,Workout Shoes,False,False,False,False,4,Olive,High Voltage,Luminous Green,Sequoia,150,True
1012291967,Metcon 9,True,Men,Workout Shoes,False,False,False,False,4,Black,Anthracite,Smoke Grey,White,150,True
1012256634,Free Metcon 5,True,Men,Workout Shoes,True,False,False,True,4,Mica Green,Amber Brown,Medium Ash,Campfire Orange,120,False
1012266916,Free Metcon 5,False,Men,Workout Shoes,True,False,False,True,4,Racer Blue,White,Obsidian,Sundial,120,False
1009800172,Free Metcon 5,False,Men,Workout Shoes,True,False,False,True,4,Light Iron Ore,Phantom,Flat Pewter,Green Strike,120,False
1012277291,Free Metcon 5,False,Men,Workout Shoes,True,False,False,True,3,Sequoia,Light Silver,High Voltage,NaN,120,False
1009810229,Free Metcon 5,False,Men,Workout Shoes,True,False,False,True,3,Black,Anthracite,White,NaN,120,False
1012289692,Free Metcon 5,False,Men,Workout Shoes,True,False,False,True,4,Summit White,Light Silver,Iron Grey,Bright Mandarin,120,False
1009766740,Free Metcon 5,False,Men,Workout Shoes,True,False,False,True,4,Smoke Grey,Iron Grey,Black,Smoke Grey,120,False
1010053140,Air Max 1 Premium,False,Shoes,Shoes,False,False,False,True,4,Coral Stardust,Oxen Brown,Sail,Bright Coral,160,True
1010251816,Air Max 1 Premium,False,Shoes,Shoes,False,False,False,True,4,Baltic Blue,Gridiron,Sail,Sesame,160,True
1012256361,Air Max 1,True,Men,Shoes,False,False,False,True,4,White,Pure Platinum,Black,University Red,140,True
1012256112,"Ja 1 ""Fuel""",True,Basketball Shoes,Basketball Shoes,False,False,False,True,4,Ember Glow,Light Silver,Blue Lightning,Blue Lightning,110,False
